bicol,tagalog,english,label
Masakit an klaseng matematika.,Mahirap ang klase ng matematika.,Mathematics class is difficult.,negative
Gusto kong mag-adal nin literatura.,Gusto kong mag-aral ng literatura.,I want to study literature.,positive
Dae ko naenjoy an project sa physics.,Hindi ko naranasan na-enjoy ang proyekto sa physics.,I haven't enjoyed the project in physics.,negative
Dakulang tabang an profesor sa pagklaro kan lektyur.,Malaking tulong ang mga guro sa pagpapaliwanag ng leksyon.,Teachers are a great help in explaining lessons.,positive
Mataas an markang nakua ko sa test.,Mataas ang marka ko sa pagsusulit.,I got a high grade in the exam.,positive
Nauupod ako sa grupong pang-research.,Nahihirapan ako sa grupo sa pagsasagawa ng research.,I'm having difficulty with the group in conducting research.,negative
Marhay an mga libro sa aklatan.,Maganda ang mga aklat sa aklatan.,The books in the library are good.,positive
Dakul an mga aktibidad sa school festival.,Maraming aktibidad sa school festival.,There are many activities in the school festival.,neutral
Padaba ko an mga classmates ko.,Nakakapagod ang mga kasamahan sa klase.,Classmates are tiring.,negative
Harani an deadline kan thesis.,Malapit na ang deadline ng thesis.,The deadline for the thesis is near.,neutral
Gurangon na an mga kagamitan sa laboratory.,Luma na ang mga kagamitan sa laboratoryo.,Laboratory equipment is getting old.,negative
Dakulon an mga proyekto na pinapasa.,Madaming ipinapasang proyekto.,Many projects are being submitted.,negative
Talentado an mga estudyante sa performing arts.,Magagaling ang mga estudyante sa performing arts.,Students are talented in performing arts.,positive
Paborito kong subject an history.,Paborito ko ang history na subject.,History is my favorite subject.,positive
Kaskas an pagtukdo nin lesson.,Mabiis ang pagturo ng lesson,The lessons are being taught too fast.,negative
Dakul an sassignments na pigtatao.,Maraming assignments na binibigay.,Many assignments are given.,negative
Magayon an campus sa aga.,Maganda ang campus sa umaga.,The campus is beautiful in the morning.,positive
Magayunon an pagkahubos kan campus.,Maganda ang pagkakagawa ng campus.,The campus is well-made.,positive
Sabi nin professor mataas an grado ko.,Sabi ng guro mataas ang grado ko.,The teacher said my grade is high.,positive
Nagmahal an tuition fee this semester.,Tumaas ang bayad sa tuition fee ngayong semester.,The tuition fee has increased this semester.,negative
Paborito ko an professor ko sa biology.,Paborito ko ang professor ko sa biology.,My favorite professor is in biology.,positive
Nagayon an seminar sa chemistry.,Mayroong seminar tungkol sa chemistry.,There's a seminar about chemistry.,neutral
