word,language,sentiment_score
a,English,0
aalala,Tagalog,-1
aaral,Tagalog,-1
about,English,0
above,English,0
abusado,Bikol,-1
abusive,English,-1
academic,Bikol,0
acceptable,English,0
active,English,1
activities,English,0
actually,English,1
adal,Bikol,1
adequate,English,0
administrative,English,1
aesthetic,English,1
after,English,0
aga,Bikol,1
again,English,0
against,English,0
aimless,English,-1
akin,Tagalog,-1
aklat,Tagalog,1
aklatan,Bikol,1
akma,Bikol,0
ako,Tagalog,0
akong,Bikol,1
aktibidad,Bikol,0
aktibo,Tagalog,1
alagad,Bikol,-1
algebra,Bikol,-1
alin,Tagalog,0
all,English,0
also,English,-1
although,English,-1
altruistic,English,1
always,English,0
am,English,0
amazed,English,1
an,Bikol,-1
analytical,English,1
and,English,0
ang,Tagalog,0
ano,Tagalog,0
another,English,0
any,English,0
apathetic,English,-1
apply,Bikol,1
aral,Tagalog,1
aralin,Tagalog,1
aramon,Bikol,0
architecture,Bikol,0
are,English,1
arrogant,English,-1
art,Bikol,1
artful,English,1
artistic,English,1
arts,Bikol,1
as,English,0
asin,Bikol,1
asked,English,-1
assignments,Tagalog,-1
assistance,English,-1
at,Tagalog,1
attender,Bikol,-1
attended,Bikol,1
attended,English,1
attire,Bikol,-1
avail,Bikol,0
average,English,0
awareness,Bikol,1
ay,Tagalog,-1
ayaw,Tagalog,-1
ba,Bikol,0
babadoon,Bikol,-1
babayadan,Bikol,-1
bad,English,-1
bago,Bikol,1
bagong,Bikol,1
bakit,Tagalog,0
bakog marajaw,Bikol,-1
bakong,Bikol,-1
bakong marhay,Bikol,-1
bakong patas,Bikol,-1
balanced,English,0
balasubas,Tagalog,-1
basic,English,0
bastos,Tagalog,-1
bawat,Tagalog,-1
bayad,Tagalog,-1
bayarin,Tagalog,-1
be,English,-1
beautiful,English,1
because,English,0
before,English,1
being,English,-1
belittling,English,-1
below,English,0
beses,Bikol,-1
better,English,0
between,English,0
binibigay,Tagalog,-1
biology,Bikol,1
books,English,1
bore,Tagalog,-1
bored,English,-1
both,English,0
brave,English,1
bureaucratic,English,1
business,Bikol,0
but,English,0
by,English,-1
calculus,Bikol,0
calm,English,1
camera,Bikol,1
camp,Bikol,0
campus,Bikol,1
can,English,-1
cannot,English,-1
career,Bikol,0
careful,English,1
careless,English,-1
chaotic,English,-1
charitable,English,1
chemistry,Bikol,0
choir,Bikol,0
civic-minded,English,1
clarifications,English,-1
clarify,Bikol,-1
class,English,-1
classes,Bikol,-1
classmates,Bikol,-1
classroom,English,1
clean,English,1
clear,English,0
clinic,Bikol,0
club,Bikol,1
college,English,-1
colloquium,Bikol,0
colors,Bikol,1
commanding,English,1
common,English,0
communicative,English,1
community-focused,English,1
comparative,Bikol,0
compassionate,English,1
complicated,English,-1
comprehensive,English,1
computer,Bikol,1
concert,Bikol,0
conducting,English,-1
conference,Bikol,1
conservationist,English,1
consistent,English,0
contemptuous,English,-1
contest,Bikol,1
contests,English,1
corporate,Bikol,-1
costumes,Bikol,0
cowardly,English,-1
craft,Bikol,1
crafty,English,1
creative,Bikol,0
cruel,English,-1
culinary,Bikol,1
culturally-aware,English,1
cultured,English,1
cum,Bikol,1
dae,Bikol,-1
dae maalalahanin,Bikol,-1
dae maboot,Bikol,-1
dae magayon,Bikol,-1
dae makabago,Bikol,-1
dae maka-bayan,Bikol,-1
dae maka-Diyos,Bikol,-1
dae maka-kalikasan,Bikol,-1
dae makatao,Bikol,-1
dae makatarungan,Bikol,-1
dae mapagkakatiwalaan,Bikol,-1
dae maparaan,Bikol,-1
dae masinop,Bikol,-1
dae maunawain,Bikol,-1
daeng malasakit,Bikol,-1
daeng modo,Bikol,-1
dahil,Tagalog,0
dai,Bikol,-1
